Link,Title,Subtitle,Description,Price,Location
https://auto.drom.ru/moscow/mercedes-benz/c-class/888304081.html,"Mercedes-Benz C-Class, 1997",,"2.0 л (136 л.с.),бензин,механика,задний,345 800 км",200 000,Москва
https://auto.drom.ru/novosibirsk/mercedes-benz/c-class/849353660.html,"Mercedes-Benz C-Class, 1995",C200 АT Elegance,"2.0 л (136 л.с.),бензин,АКПП,задний,290 000 км",198 000,Новосибирск
https://auto.drom.ru/novosibirsk/mercedes-benz/a-class/663477254.html,"Mercedes-Benz A-Class, 2002",A 160,"1.6 л (102 л.с.),бензин,АКПП,передний,397 000 км",185 000,Новосибирск
https://auto.drom.ru/novosibirsk/mercedes-benz/e-class/909229381.html,"Mercedes-Benz E-Class, 1989",200 E MT5 Base,"2.0 л (122 л.с.),бензин,механика,задний,152 000 км",150 000,Новосибирск
https://auto.drom.ru/vladivostok/mercedes-benz/mercedes/867256329.html,"Mercedes-Benz Mercedes, 1992",,"2.5 л (90 л.с.),механика,задний,50 000 км",110 000,Владивосток
https://auto.drom.ru/novodvinsk/mercedes-benz/e-class/567591712.html,"Mercedes-Benz E-Class, 1991",230 TE AT Base,"2.3 л (132 л.с.),бензин,АКПП,задний,300 000 км",200 000,Новодвинск
https://auto.drom.ru/abinsk/mercedes-benz/e-class/447754300.html,"Mercedes-Benz E-Class, 1981",,"2.3 л (100 л.с.),бензин,механика,задний,200 000 км",90 000,Абинск
https://auto.drom.ru/omsk/mercedes-benz/e-class/360310644.html,"Mercedes-Benz E-Class, 1990",,"2.5 л (94 л.с.),дизель,механика,задний,485 000 км",150 000,Омск
https://auto.drom.ru/voronezh/mercedes-benz/e-class/162357092.html,"Mercedes-Benz E-Class, 1985",,"2.3 л (136 л.с.),бензин,механика,задний,253 000 км",140 000,Воронеж
https://auto.drom.ru/makhachkala/mercedes-benz/mercedes/299130803.html,"Mercedes-Benz Mercedes, 1987",,"2.6 л,механика,задний,400 000 км",130 000,Махачкала
https://auto.drom.ru/ishim/mercedes-benz/e-class/945992661.html,"Mercedes-Benz E-Class, 1998",E 240 MТ Elegance,"2.4 л (170 л.с.),бензин,механика,задний,10 000 км",200 000,Ишим
https://auto.drom.ru/nizhniy-novgorod/mercedes-benz/e-class/572174298.html,"Mercedes-Benz E-Class, 1997",E 200 MТ Avantgarde,"2.0 л (136 л.с.),бензин,механика,задний,290 000 км",165 000,Нижний Новгород
https://auto.drom.ru/polysaevo/mercedes-benz/s-class/195684224.html,"Mercedes-Benz S-Class, 2002",S 430 AT,"4.3 л (279 л.с.),бензин,АКПП,задний,300 000 км",200 000,Полысаево
https://auto.drom.ru/nizhniy-novgorod/mercedes-benz/e-class/654526896.html,"Mercedes-Benz E-Class, 1997",,"2.0 л (136 л.с.),бензин,механика,задний,290 000 км",170 000,Нижний Новгород
https://auto.drom.ru/ramenskoe/mercedes-benz/c-class/297885587.html,"Mercedes-Benz C-Class, 1998",C200 АT Elegance,"2.0 л (136 л.с.),бензин,АКПП,задний,400 000 км",120 000,Раменское
https://auto.drom.ru/irkutsk/mercedes-benz/a-class/243763610.html,"Mercedes-Benz A-Class, 2003",A 160 Elegance,"1.6 л (102 л.с.),бензин,АКПП,передний,180 000 км",168 000,Иркутск
https://auto.drom.ru/irkutsk/mercedes-benz/a-class/871742105.html,"Mercedes-Benz A-Class, 2001",,"1.6 л (102 л.с.),бензин,механика,передний,120 000 км",190 000,Иркутск
https://auto.drom.ru/novosibirsk/mercedes-benz/e-class/746620701.html,"Mercedes-Benz E-Class, 1996",,"3.2 л (220 л.с.),бензин,АКПП,задний,250 000 км",150 000,Новосибирск
https://auto.drom.ru/kyzyl/mercedes-benz/190/707800884.html,"Mercedes-Benz 190, 1985",190 E 2.0 MT,"2.0 л (122 л.с.),бензин,механика,задний,363 660 км",180 000,Кызыл
https://auto.drom.ru/naberezhnye-chelny/mercedes-benz/c-class/438941344.html,"Mercedes-Benz C-Class, 1996",C200 D МT Elegance,"2.0 л (88 л.с.),дизель,механика,задний,400 000 км",120 000,Набережные Челны
https://auto.drom.ru/mayrtup/mercedes-benz/c-class/377071536.html,"Mercedes-Benz C-Class, 1993",C280 АT Elegance,"2.8 л (193 л.с.),бензин,АКПП,задний,850 000 км",190 000,Майртуп
https://auto.drom.ru/lodeynoe-pole/mercedes-benz/e-class/307716812.html,"Mercedes-Benz E-Class, 1999",E 240 АТ Classic,"2.4 л (170 л.с.),бензин,АКПП,задний,276 352 км",75 000,Лодейное Поле
https://auto.drom.ru/ostashkov/mercedes-benz/190/147412924.html,"Mercedes-Benz 190, 1986",,"2.0 л (72 л.с.),дизель,механика,задний,500 000 км",150 000,Осташков
https://auto.drom.ru/ekaterinburg/mercedes-benz/e-class/817607476.html,"Mercedes-Benz E-Class, 1987",200 MT5 Base,"2.0 л (109 л.с.),бензин,механика,задний,444 444 км",130 000,Екатеринбург
https://auto.drom.ru/omsk/mercedes-benz/190/113942907.html,"Mercedes-Benz 190, 1990",190 E 2.0 MT RUF version,"2.0 л (122 л.с.),бензин,механика,задний,50 000 км",200 000,Омск
https://auto.drom.ru/kaliningrad/mercedes-benz/vito/747053186.html,"Mercedes-Benz Vito, 1998",110 D MT,"2.3 л (98 л.с.),дизель,механика,передний",195 000,Калининград
https://auto.drom.ru/irkutsk/mercedes-benz/e-class/126875031.html,"Mercedes-Benz E-Class, 1998",,"4.3 л (279 л.с.),бензин,АКПП,задний,357 800 км",135 000,Иркутск
https://auto.drom.ru/moscow/mercedes-benz/e-class/688835881.html,"Mercedes-Benz E-Class, 1994",E 220 AT,"2.2 л (150 л.с.),бензин,АКПП,задний,222 222 км",69 000,Москва
https://auto.drom.ru/krasnodar/mercedes-benz/190/599928180.html,"Mercedes-Benz 190, 1984",190 E 2.3 MT,"2.3 л (132 л.с.),бензин,механика,задний,500 000 км",150 000,Краснодар
https://auto.drom.ru/kazan/mercedes-benz/mercedes/448703195.html,"Mercedes-Benz Mercedes, 1988",,"2.4 л,дизель,механика,задний,180 000 км",150 000,Казань
https://auto.drom.ru/krasnoyarsk/mercedes-benz/e-class/128532485.html,"Mercedes-Benz E-Class, 1998",E 240 АТ Elegance,"2.4 л (170 л.с.),бензин,АКПП,задний,460 000 км",200 000,Красноярск
https://auto.drom.ru/millerovo/mercedes-benz/190/451098827.html,"Mercedes-Benz 190, 1984",190 2.0 MT,"2.0 л (90 л.с.),бензин,механика,задний,120 000 км",155 000,Миллерово
https://auto.drom.ru/novosibirsk/mercedes-benz/mercedes/410273717.html,"Mercedes-Benz Mercedes, 1985",,"2.0 л (101 л.с.),бензин,механика,задний,350 000 км",95 000,Новосибирск
https://auto.drom.ru/moscow/mercedes-benz/vito/380221598.html,"Mercedes-Benz Vito, 1999",112 CDI MT,"2.1 л (122 л.с.),дизель,механика,передний,580 000 км",25 000,Москва
https://auto.drom.ru/novosibirsk/mercedes-benz/e-class/195847462.html,"Mercedes-Benz E-Class, 1999",E 320 АТ Avantgarde,"3.2 л (224 л.с.),бензин,АКПП,задний,200 000 км",160 000,Новосибирск
https://auto.drom.ru/kazanskoe/mercedes-benz/e-class/652079526.html,"Mercedes-Benz E-Class, 1992",200 D MT5 Base,"2.0 л (75 л.с.),дизель,механика,задний,999 999 км",70 000,Казанское
https://auto.drom.ru/ekaterinburg/mercedes-benz/190/815752139.html,"Mercedes-Benz 190, 1990",190 E 1.8 MT,"1.8 л (109 л.с.),бензин,механика,задний,500 000 км",200 000,Екатеринбург
https://auto.drom.ru/omsk/mercedes-benz/w123/689933158.html,"Mercedes-Benz W123, 1977",2.0d MT 200 D,"2.0 л (54 л.с.),дизель,механика,задний,250 000 км",197 700,Омск
https://auto.drom.ru/baksan/mercedes-benz/190/557690989.html,"Mercedes-Benz 190, 1984",190 E 2.3 MT,"2.3 л (132 л.с.),бензин,механика,задний,234 567 км",110 000,Баксан
https://auto.drom.ru/spb/mercedes-benz/e-class/523318272.html,"Mercedes-Benz E-Class, 1997",E 280 АТ Avantgarde,"2.8 л (204 л.с.),бензин,АКПП,задний,248 000 км",200 000,Санкт-Петербург
https://auto.drom.ru/kaliningrad/mercedes-benz/e-class/753825209.html,"Mercedes-Benz E-Class, 1989",200 E (M 111 engine) MT Base,"2.0 л (136 л.с.),бензин,механика,задний,286 000 км",180 000,Калининград
https://auto.drom.ru/vladikavkaz/mercedes-benz/e-class/183128985.html,"Mercedes-Benz E-Class, 1998",,"2.8 л (204 л.с.),бензин,АКПП,задний,165 000 км",56 000,Владикавказ
https://auto.drom.ru/kaliningrad/mercedes-benz/c-class/796988997.html,"Mercedes-Benz C-Class, 1994",,"1.8 л (122 л.с.),бензин,механика,задний,340 000 км",180 000,Калининград
https://auto.drom.ru/kaliningrad/mercedes-benz/e-class/739444207.html,"Mercedes-Benz E-Class, 1989",,"2.3 л (132 л.с.),бензин,механика,задний,523 668 км",195 000,Калининград
